slice_lower_limit,slice_upper_limit,n,a,b,b_std,b_std/abs(b),abs(b)/b_std
1.000e-30,2.700e+25,218,40.116336748605,-0.189834640611,0.001820858768,0.009591815079,104.255554531688
1.000e-30,2.800e+25,228,40.029840938758,-0.183850981727,0.002523954277,0.013728261083,72.842437506716
1.000e-30,2.900e+25,239,40.114953484631,-0.182362622639,0.004803200324,0.026338732434,37.966899223693
1.000e-30,3.000e+25,247,40.002621597707,-0.187871292065,0.007236675434,0.038519325411,25.960994626247
1.000e-30,3.100e+25,253,40.072445136662,-0.175566641298,0.005706637562,0.032504110805,30.765339375432
1.000e-30,3.200e+25,259,40.354950301272,-0.163581130116,0.011377216788,0.069550912012,14.377956680561
1.000e-30,3.300e+25,266,40.482052106318,-0.168920951017,0.010683290601,0.063244319529,15.811696725452
1.000e-30,3.400e+25,274,40.817490226382,-0.159894060855,0.003740470909,0.023393432433,42.747040344282
1.000e-30,3.500e+25,283,43.989570778337,-0.031962423089,0.102760585152,3.215043642554,0.311037768435
1.000e-30,3.600e+25,290,43.160427007232,-0.053862905416,0.118474564526,2.199557628976,0.454636871899
1.000e-30,3.700e+25,300,45.049504586712,-0.000113153525,0.092251035432,815.273194174737,0.001226582705
1.000e-30,3.800e+25,315,44.944049147560,-0.007870722484,0.105106957835,13.354168952942,0.074882982500
1.000e-30,3.900e+25,323,44.983936065273,-0.004118488052,0.100440097336,24.387614110969,0.041004421156
1.000e-30,4.000e+25,328,45.423912559669,0.004609807176,0.106296970059,23.058875565678,0.043367249073
1.000e-30,4.100e+25,338,46.401432365910,0.011981646251,0.116641430264,9.735008681118,0.102722045019
1.000e-30,4.200e+25,349,47.637184471623,0.042658179041,0.103317114079,2.421976661996,0.412885894274
1.000e-30,4.300e+25,355,45.603843225356,0.005017831050,0.100665817595,20.061619572048,0.049846424234
1.000e-30,4.400e+25,365,46.600394196907,0.018257568402,0.105172066702,5.760464065532,0.173597124923
1.000e-30,4.500e+25,374,39.931930051046,-0.202388457051,0.059522029817,0.294097947500,3.400227742151
1.000e-30,4.600e+25,383,39.902668851165,-0.207431667703,0.028976237281,0.139690518819,7.158681981111
1.000e-30,4.700e+25,386,40.138733851838,-0.189497396583,0.070898543553,0.374139934541,2.672796747097
1.000e-30,4.800e+25,400,44.794331522922,-0.025979666070,0.126030343984,4.851114854447,0.206138182666
1.000e-30,4.900e+25,406,40.643547818229,-0.165557806417,0.091314864770,0.551558798379,1.813043329085
1.000e-30,5.000e+25,413,42.326058533754,-0.095608272661,0.126837803722,1.326640469397,0.753783728951
1.000e-30,5.100e+25,418,43.813493144594,-0.054867742324,0.136736019592,2.492102167854,0.401267657843
1.000e-30,5.200e+25,426,46.283496591583,0.013014362118,0.124724483007,9.583603243828,0.104344887258
1.000e-30,5.300e+25,432,47.681024676913,0.046079831957,0.105659556868,2.292967495341,0.436116081903
1.000e-30,5.400e+25,443,40.589019071162,-0.160087816025,0.095289637876,0.595233542703,1.680012849172
1.000e-30,5.500e+25,454,46.594003710743,0.024552244454,0.113728015099,4.632082224065,0.215885632341
1.000e-30,5.600e+25,457,45.516831969994,-0.004755680190,0.136087266739,28.615731357355,0.034945813109
1.000e-30,5.700e+25,462,47.818262875502,0.044593760881,0.110709142873,2.482615071857,0.402801067043
1.000e-30,5.800e+25,473,48.332554451057,0.053000267099,0.121910790373,2.300191999879,0.434746316852
1.000e-30,5.900e+25,478,47.329937684962,0.030279986082,0.114058232612,3.766786163722,0.265478303396
1.000e-30,6.000e+25,486,45.785705022355,-0.002312700175,0.133988423145,57.935924682029,0.017260447736
1.000e-30,6.100e+25,490,49.334710783269,0.069693090029,0.103549219492,1.485788898862,0.673043122590
1.000e-30,6.200e+25,494,48.824270194050,0.051401095007,0.123573297676,2.404098544203,0.415956326920
1.000e-30,6.300e+25,504,47.981854380897,0.042028267995,0.120265906973,2.861548017800,0.349461198547
1.000e-30,6.400e+25,507,48.971685162824,0.063455587359,0.106166980883,1.673091138241,0.597696071148
1.000e-30,6.500e+25,510,49.130959257495,0.057722161234,0.107949587302,1.870158445105,0.534714051966
1.000e-30,6.600e+25,518,49.387741927874,0.063941768774,0.119879349075,1.874820659091,0.533384350738
1.000e-30,6.700e+25,527,50.291029790860,0.076584942494,0.110222205385,1.439215096290,0.694823173115
